"url","name","resource_type","key_resource"
"https://hifld-geoplatform.hub.arcgis.com/datasets/249971f133504bcaac56e6d2e98c4b67/explore?location=32.943663%2C-100.273352%2C2.93","119th Congressional Districts","Data File (Other)","True"
"https://www.arcgis.com/sharing/rest/content/items/249971f133504bcaac56e6d2e98c4b67/info/metadata/metadata.xml?format=default&output=html","119th Congressional Districts Metadata","Supporting Documentation Page","False"
"https://hifld-geoplatform.hub.arcgis.com/datasets/8f63577e618044a98472a2a8d8f449e1/explore?location=32.943663%2C-100.273352%2C2.93","2020 Census Blocks","Data File (Other)","True"
"https://www.arcgis.com/sharing/rest/content/items/8f63577e618044a98472a2a8d8f449e1/info/metadata/metadata.xml?format=default&output=html","2020 Census Blocks Metadata","Supporting Documentation Page","False"
"https://hifld-geoplatform.hub.arcgis.com/datasets/650c07e542fa43b6a327c7f683681712/explore?location=32.943663%2C-100.273352%2C2.93","3D Hydrography Program (3DHP) Layers","Data File (Other)","True"
"https://www.arcgis.com/sharing/rest/content/items/650c07e542fa43b6a327c7f683681712/info/metadata/metadata.xml?format=default&output=html","3D Hydrography Program (3DHP) Layers Metadata","Supporting Documentation Page","False"
"https://hifld-geoplatform.hub.arcgis.com/datasets/e97f9385ce22445a8741ecedad1ac777/explore?location=32.943663%2C-100.273352%2C2.93","Above Ground LNG Storage Facilities","Data File (Other)","True"
"https://www.arcgis.com/sharing/rest/content/items/e97f9385ce22445a8741ecedad1ac777/info/metadata/metadata.xml?format=default&output=html","Above Ground LNG Storage Facilities Metadata","Supporting Documentation Page","False"
"https://hifld-geoplatform.hub.arcgis.com/datasets/c65cc7b0bd5b4c2b81da97b96a759b00/explore?location=32.943663%2C-100.273352%2C2.93","Address Ranges","Data File (Other)","True"
"https://www.arcgis.com/sharing/rest/content/items/c65cc7b0bd5b4c2b81da97b96a759b00/info/metadata/metadata.xml?format=default&output=html","Address Ranges Metadata","Supporting Documentation Page","False"
"https://hifld-geoplatform.hub.arcgis.com/datasets/e49b2f0c103f47ae8293135341f4260e/explore?location=32.943663%2C-100.273352%2C2.93","Administrative Areas (USACE IENC)","Data File (Other)","True"
"https://www.arcgis.com/sharing/rest/content/items/e49b2f0c103f47ae8293135341f4260e/info/metadata/metadata.xml?format=default&output=html","Administrative Areas (USACE IENC) Metadata","Supporting Documentation Page","False"
"https://hifld-geoplatform.hub.arcgis.com/datasets/d4ec6e75c4e8495397562ac7c5f49f1c/explore?location=32.943663%2C-100.273352%2C2.93","Agricultural Minerals Operations","Data File (Other)","True"
"https://www.arcgis.com/sharing/rest/content/items/d4ec6e75c4e8495397562ac7c5f49f1c/info/metadata/metadata.xml?format=default&output=html","Agricultural Minerals Operations Metadata","Supporting Documentation Page","False"
"https://hifld-geoplatform.hub.arcgis.com/datasets/77bbc99e9bb94f738cc1cbfcc8abdf4b/explore?location=32.943663%2C-100.273352%2C2.93","Airport Area (USACE IENC)","Data File (Other)","True"
"https://www.arcgis.com/sharing/rest/content/items/77bbc99e9bb94f738cc1cbfcc8abdf4b/info/metadata/metadata.xml?format=default&output=html","Airport Area (USACE IENC) Metadata","Supporting Documentation Page","False"
"https://hifld-geoplatform.hub.arcgis.com/datasets/87e5f0c3378a4d8393ccf26beecd6fc9/explore?location=32.943663%2C-100.273352%2C2.93","Airspace Boundaries","Data File (Other)","True"
